,filename,img_index
0,n01443537_0.JPEG,0
1,n01443537_1.JPEG,1
2,n01443537_10.JPEG,2
3,n01443537_100.JPEG,3
4,n01443537_101.JPEG,4
5,n01443537_102.JPEG,5
6,n01443537_103.JPEG,6
7,n01443537_104.JPEG,7
8,n01443537_105.JPEG,8
9,n01443537_106.JPEG,9
10,n01443537_107.JPEG,10
11,n01443537_108.JPEG,11
12,n01443537_109.JPEG,12
13,n01443537_11.JPEG,13
14,n01443537_110.JPEG,14
15,n01443537_111.JPEG,15
16,n01443537_112.JPEG,16
17,n01443537_113.JPEG,17
18,n01443537_114.JPEG,18
19,n01443537_115.JPEG,19
20,n01443537_116.JPEG,20
21,n01443537_117.JPEG,21
22,n01443537_118.JPEG,22
23,n01443537_119.JPEG,23
24,n01443537_12.JPEG,24
25,n01443537_120.JPEG,25
26,n01443537_121.JPEG,26
27,n01443537_122.JPEG,27
28,n01443537_123.JPEG,28
29,n01443537_124.JPEG,29
30,n01443537_125.JPEG,30
31,n01443537_126.JPEG,31
32,n01443537_127.JPEG,32
33,n01443537_128.JPEG,33
34,n01443537_129.JPEG,34
35,n01443537_13.JPEG,35
36,n01443537_130.JPEG,36
37,n01443537_131.JPEG,37
38,n01443537_132.JPEG,38
39,n01443537_133.JPEG,39
40,n01443537_134.JPEG,40
41,n01443537_135.JPEG,41
42,n01443537_136.JPEG,42
43,n01443537_137.JPEG,43
44,n01443537_138.JPEG,44
45,n01443537_139.JPEG,45
46,n01443537_14.JPEG,46
47,n01443537_140.JPEG,47
48,n01443537_141.JPEG,48
49,n01443537_142.JPEG,49
50,n01443537_143.JPEG,50
51,n01443537_144.JPEG,51
52,n01443537_145.JPEG,52
53,n01443537_146.JPEG,53
54,n01443537_147.JPEG,54
55,n01443537_148.JPEG,55
56,n01443537_149.JPEG,56
57,n01443537_15.JPEG,57
58,n01443537_150.JPEG,58
59,n01443537_151.JPEG,59
60,n01443537_152.JPEG,60
61,n01443537_153.JPEG,61
